scope_id,league_id,league_name,entity_type,entity_id,display_name,country,asset_slot,local_logo_path,logo_image_path,logo_file_exists,current_source_url,official_source_candidate,current_approval_status,manual_review_status,operator_action,allowed_decisions,human_intake_file,review_only,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
europe_top_flight,frauen_bundesliga_germany,Google Pixel Womens Bundesliga,league,frauen_bundesliga_germany,Google Pixel Womens Bundesliga,Germany,league_mark,assets/leagues/womens_soccer/europe_top_flight/frauen_bundesliga_germany/league_mark.png,assets/leagues/womens_soccer/europe_top_flight/frauen_bundesliga_germany/league_mark.png,false,https://www.dfb.de/en/women/womens-bundesliga,https://www.dfb.de/en/women/womens-bundesliga,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,premiere_ligue_france,Arkema Premiere Ligue,league,premiere_ligue_france,Arkema Premiere Ligue,France,league_mark,assets/leagues/womens_soccer/europe_top_flight/premiere_ligue_france/league_mark.png,assets/leagues/womens_soccer/europe_top_flight/premiere_ligue_france/league_mark.png,false,https://uk.fff.fr/,https://uk.fff.fr/,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,serie_a_women_italy,Serie A Women Athora,league,serie_a_women_italy,Serie A Women Athora,Italy,league_mark,assets/leagues/womens_soccer/europe_top_flight/serie_a_women_italy/league_mark.png,assets/leagues/womens_soccer/europe_top_flight/serie_a_women_italy/league_mark.png,false,https://www.figc.it/it/femminile/,https://www.figc.it/it/femminile/,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,arsenal_women,Arsenal Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/arsenal_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/arsenal_women/logo.png,false,https://www.arsenal.com/women,https://www.arsenal.com/women,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,aston_villa_women,Aston Villa Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/aston_villa_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/aston_villa_women/logo.png,false,https://www.avfc.co.uk/teams/womens,https://www.avfc.co.uk/teams/womens,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,brighton_hove_albion_women,Brighton & Hove Albion Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/brighton_hove_albion_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/brighton_hove_albion_women/logo.png,false,https://www.brightonandhovealbion.com/pages/en/womens-team,https://www.brightonandhovealbion.com/pages/en/womens-team,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,chelsea_women,Chelsea Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/chelsea_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/chelsea_women/logo.png,false,https://www.chelseafc.com/en/teams/chelsea-women,https://www.chelseafc.com/en/teams/chelsea-women,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,everton_women,Everton Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/everton_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/everton_women/logo.png,false,https://www.evertonfc.com/teams/women,https://www.evertonfc.com/teams/women,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,leicester_city_women,Leicester City Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/leicester_city_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/leicester_city_women/logo.png,false,https://www.lcfc.com/pages/en/women,https://www.lcfc.com/pages/en/women,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,liverpool_women,Liverpool Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/liverpool_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/liverpool_women/logo.png,false,https://www.liverpoolfc.com/team/womens,https://www.liverpoolfc.com/team/womens,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,london_city_lionesses,London City Lionesses,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/london_city_lionesses/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/london_city_lionesses/logo.png,false,https://www.londoncitylionesses.com/,https://www.londoncitylionesses.com/,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,manchester_city_women,Manchester City Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/manchester_city_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/manchester_city_women/logo.png,false,https://www.mancity.com/teams/mcwfc,https://www.mancity.com/teams/mcwfc,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,manchester_united_women,Manchester United Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/manchester_united_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/manchester_united_women/logo.png,false,https://www.manutd.com/en/teams/women,https://www.manutd.com/en/teams/women,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,tottenham_hotspur_women,Tottenham Hotspur Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/tottenham_hotspur_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/tottenham_hotspur_women/logo.png,false,https://www.tottenhamhotspur.com/teams/women/,https://www.tottenhamhotspur.com/teams/women/,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
europe_top_flight,wsl_england,Barclays Women's Super League,team,west_ham_united_women,West Ham United Women,England,primary_logo,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/west_ham_united_women/logo.png,assets/leagues/womens_soccer/europe_top_flight/wsl_england/teams/west_ham_united_women/logo.png,false,https://www.whufc.com/teams/women,https://www.whufc.com/teams/women,not_approved,review_required,manual_logo_or_mark_review_required,approve_for_review_only_renderer_use|deny_logo_asset|hold_for_more_evidence|revise_source_metadata,data/asset_registry/womens_soccer/womens_soccer_logo_review_intake.csv,true,false,false,false,false,false,false
